ts_iso,email,name,subject,status,error
2025-09-17T13:34:01,bewerbung1@example.com,Firma A,Bewerbung als XYZ – Firma A,SENT,
2025-09-17T13:34:01,bewerbung2@example.com,Firma B,Bewerbung als XYZ – Firma B,SENT,
2025-09-17T13:36:17,bewerbung1@example.com,Firma A,Bewerbung als XYZ – Firma A,SENT,
2025-09-17T13:36:17,bewerbung2@example.com,Firma B,Bewerbung als XYZ – Firma B,SENT,
2025-09-17T13:37:48,v_alexander@gmx.at,Firma A,Bewerbung als XYZ – Firma A,SENT,
2025-09-17T13:37:51,v_alexander@gmx.at,Firma B,Bewerbung als XYZ – Firma B,SENT,
2025-09-17T13:43:19,v_alexander@gmx.at,Sehr geehrte Damen und Herren,Bewerbung,SENT,
2025-09-17T13:43:22,v_alexander@gmx.at,Sehr geehrte Damen und Herren,Bewerbung,SENT,
2025-09-17T14:20:33,office@spar.at,einzelhandel,Bewerbung,SENT,
2025-09-17T14:20:36,kontakt@hofer.at,einzelhandel,Bewerbung,SENT,
2025-09-17T14:21:03,office@obi.de,einzelhandel,Bewerbung,SENT,
2025-09-17T14:21:06,bewerbung@lidl.at,einzelhandel,Bewerbung,SENT,
2025-09-17T14:25:26,servicecenter@penny.at,einzelhandel,Bewerbung,SENT,
2025-09-17T14:25:26,peopleculture@billa.at,einzelhandel,Bewerbung,SENT,
2025-09-17T18:51:27,v_alexander@gmx.at,Sehr geehrte Damen und Herren,Bewerbung,SENT,,OK,
2025-09-17T18:55:10,v_alexander@gmx.at,Sehr geehrte Damen und Herren,Bewerbung,SENT,,OK,
2025-09-17T18:55:55,v_alexander@gmx.at,Sehr geehrte Damen und Herren,Bewerbung,SENT,,OK,
2025-09-17T19:08:18,v_alexander@gmx.at,Sehr geehrte Damen und Herren,Bewerbung,SENT,,OK,
2025-09-17T19:10:29,v_alexander@gmx.at,büro,Bewerbung,SENT,,OK,
2025-09-17T19:31:01,servicecenter@penny.at,einzelhandel,Bewerbung,SENT,,OK,
2025-09-17T19:31:05,peopleculture@billa.at,einzelhandel,Bewerbung,SENT,,OK,
2025-09-17T19:32:29,kontakt@zara.at,einzelhandel,Bewerbung,SENT,,OK,
2025-09-17T19:32:32,impressum@peek-cloppenburg.at,einzelhandel,Bewerbung,SENT,,OK,
